Tên,Googlemap,Link ảnh,Tọa độ,Đánh giá,Số lượng đánh giá,Địa chỉ
Ốc Đảo Quán - cơ sở 1,https://maps.app.goo.gl/WxY6tZoP3PDcU5p29,https://statics.vinpearl.com/quan-oc-hue-1_1704425768.jpg,"16.4723804,107.5349437","4,4",15,"161 Lê Huân, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế 530000"
Đề-Pô Cafe,https://maps.app.goo.gl/jD86NBdbNeFhEpbc6,https://myinhue.org/wp-content/uploads/2023/07/cf33-min.jpg,"16.473158,107.5630433","4,6",191,"Chợ Đông Ba, 02 Trần Hưng Đạo, Phú Hoà, Thành phố Huế, Thừa Thiên Huế 530000"
Cà phê Muối - Đặc sản Huế,https://maps.app.goo.gl/ZZ55J6Aj4fHkdFpA8,https://media-cdn-v2.laodong.vn/storage/newsportal/2023/6/29/1210583/Ca-Phe-Muoi-2.jpeg,"16.464747,107.5815551","4,9",38,"Bến Nghé/65 Huế, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
HÚE Cafe,https://maps.app.goo.gl/7yiUXf6d9RhX6AN57,https://gcs.tripi.vn/public-tripi/tripi-feed/img/476196EFS/anh-mo-ta.png,"16.4670105,107.5762264","4,7",318,"Hẻm 10 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế 52000"
Thành cafe - 24 Văn Cao,https://maps.app.goo.gl/DbXF9AvyZ6pXfvGb7,https://adormusic.s3.us-east-2.amazonaws.com/wp-content/uploads/2022/07/08191338/Tha%CC%80nh-Cafe.jpg,"16.4670105,107.5762264","4,7",151,"24 Văn Cao, Xuân Phú, Thành phố Huế, Thừa Thiên Huế 52000"
đa:mê cafe,https://maps.app.goo.gl/FLuMWBw8gR2DM7Bd8,https://reviewhue.vn/wp-content/uploads/2022/12/2b7e308a849e07195a71a154db04ee6b.jpg,"16.4670105,107.5762264","4,8",363,"34 Chu Văn An, Phú Hội, Thành phố Huế, Thừa Thiên Huế 49118"
tan.cafe,https://maps.app.goo.gl/MNMQcLfptDvL4ra9A,https://tan-co.vn/wp-content/uploads/2023/06/tan-3-ngang-2-1024x768.jpg,"16.4670105,107.5762264","4,5",277,"14 Phạm Hồng Thái, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 52000"
HANOK CAFE,https://maps.app.goo.gl/AgodsEkKNyJxQkAK7,https://media-cdn.tripadvisor.com/media/photo-s/25/0e/77/b5/hanok-cafe.jpg,"16.4670105,107.5762264","4,6",172,"14A Kiệt 64 Nguyễn Công Trứ, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Trốn cafe,https://maps.app.goo.gl/XUAzAErMTDCJKoX87,https://trons.studio/wp-content/uploads/2023/12/dem.jpeg,"16.4670105,107.5762264","4,6",144,"Kiệt 21 Lê Quý Đôn, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Chạn Cafe,https://maps.app.goo.gl/gbp6KBXpGKqr3GRf7,https://thanhphohue.net/wp-content/uploads/2024/02/chan_cafe_hue_05.jpg,"16.4670105,107.5762264","4,5",90,"19 Nguyễn Thái Học, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
The Coffee House - Võ Thị Sáu (Huế),https://maps.app.goo.gl/KfyRhdaj8xAtZtY69,https://static.muanhanh.com/images/user/47/hue/house/coffee-1.jpg,"16.4670105,107.5762264","4,4",396,"61 Võ Thị Sáu, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
The time coffee,https://maps.app.goo.gl/NBhnhH5aWn4AbQ8BA,https://cungdi.net/uploads/travel/hue/258174957_1101077413994222_6545215947164986252_n.jpg,"16.4700148,107.5727073","4,1",101,"18 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
PhinHolic,https://maps.app.goo.gl/APTyRTvtzs5LY3FM9,https://www.cotrang.org/public/images/tin_dang/2/1_phiholic-65-ben-nghe-bk-13.jpg,"16.4700148,107.5727073","4,5",586,"65 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
CODO COFFEE,https://maps.app.goo.gl/45cgU2frec1ySEDS9,https://khamphahue.com.vn/Portals/0/Medias/Nam2023/T5/Khamphahue_KodoCafeHue12.jpg,"16.4700148,107.5727073","4,8",51,"12 Ngô Đức Kế, Phú Hậu, Thành phố Huế, Thừa Thiên Huế"
LAPH.TRƯƠNG ĐỊNH,https://maps.app.goo.gl/8MoAUUBoZYLuZ3n7A,https://media-cdn.tripadvisor.com/media/photo-s/13/72/21/48/getlstd-property-photo.jpg,"16.4700148,107.5727073","4,5",122,"4 Trương Định, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 530000"
Anh Kafe,https://maps.app.goo.gl/fWGkeSGP5T8tk2mD7,,"16.4700148,107.5727073","4,2",121,"34 Đ. Nguyễn Lương Bằng, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Nhà Tôi Cofee & Beer,https://maps.app.goo.gl/ZDbCG1WY756htvSM9,,"16.4700148,107.5727073","4,2",47,"81 Trần Hưng Đạo, Phú Hoà, Thành phố Huế, Thừa Thiên Huế"
Cà phê Khởi nghiệp Huế,https://maps.app.goo.gl/bACLqZokDeoPhH4x9,https://i2.connections.vn/cei.hueuni.edu.vn/wp-content/uploads/2023/02/13.jpg,"16.4700148,107.5727073","4,5",11,"20 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 52000"
Highlands Coffee,https://maps.app.goo.gl/56U8axBjzQNmNHRt9,https://noithatkendesign.vn/storage/app/media/uploaded-files/thiet-ke-quan-highlands-coffee-4.jpg,"16.4700148,107.5727073","4,2",808,"38 Lê Lợi, Ward, Hue City, Thành phố Huế, Thừa Thiên Huế"
Afternoon Coffee - Beautiful Old Coffeehouse,https://maps.app.goo.gl/6mG4u6Z8aCE14kQb9,https://thanhphohue.net/wp-content/uploads/2024/03/chieu_cafe_hue_05.jpg,"16.4662367,107.5548674","4,3",345,"44 Đặng Thái Thân, Thuận Thành, Thành phố Huế, Thừa Thiên Huế"
Tiệm Kem Tươi Suki,https://maps.app.goo.gl/UaL2xjefAR3LimpJ6,https://vi.alongwalker.co/img/post_images/64c64a1a4d96b50c7fa3424c7aef7adf.jpg,"16.6363184,107.1884988","4,7",18,"97 Nhật Lệ, Thuận Thành, Thành phố Huế, Thừa Thiên Huế"
Nước Ép Trái Cây Nhà Ry,https://maps.app.goo.gl/BrMDHZXZmeuFmHVm9,https://cdn.mediamart.vn/images/news/12-loai-sinh-to-va-nuoc-ep-lam-tre-hoa-lan-da-EOwf6p.jpg,"16.4725965,107.5655391",5,1,"37 Nguyễn Bỉnh Khiêm, Phú Cát, Thành phố Huế, Thừa Thiên Huế"
Sinh Tố Nuoc Ep Trai Cay,https://maps.app.goo.gl/wnPPN7PtSZ7uK2Ao7,https://cdn.mediamart.vn/images/news/12-loai-sinh-to-va-nuoc-ep-lam-tre-hoa-lan-da-EOwf6p.jpg,"16.4740447,107.5396102",5,1,"26 Nhật Lệ, Thuận Thành, Thành phố Huế, Thừa Thiên Huế"
Nature Fuel - juice smoothie waffle,https://maps.app.goo.gl/uap4HsFprwKrz9846,https://cdn.mediamart.vn/images/news/12-loai-sinh-to-va-nuoc-ep-lam-tre-hoa-lan-da-EOwf6p.jpg,"16.4663626,107.5742045","4,9",87,"47B Trần Nguyên Hãn, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế"
"Bluehands - Juice - 
Smoothie Bowls",https://maps.app.goo.gl/pDCtVp1gAFEBDtiCA,https://storage.googleapis.com/public-tripi/food/img/2702mp/167675566_3574849492642886_3464197750024584901_n.jpg,"16.4690763,107.5961003","4,6",55,"35 Chu Văn An, Phú Hội, Thành phố Huế, Thừa Thiên Huế 53000"
Ca Dao Coffee,https://maps.app.goo.gl/ZkbR4hM78esXWZ2o6,,"16.4563688,107.5546435","3,8",51,"14 Nguyễn Phúc Nguyên, Kim Long, Thành phố Huế, Thừa Thiên Huế"
KODO,https://maps.app.goo.gl/XzDAfaRZCehGsxsr9,https://khamphahue.com.vn/Portals/0/Medias/Nam2023/T5/Khamphahue_KodoCafeHue12%20-%20Copy.jpg,"16.4560546,107.5524352","4,6",140,"36 - 38 Nguyễn Phúc Nguyên, Hương Long, Thành phố Huế, Thừa Thiên Huế"
Nhà Hàng Nam Châu Hội Quán,https://maps.app.goo.gl/YSbGZNTWDMC9wmpf7,,"16.4621071,107.5624123","4,1",633,"04 Kim Long, 07 Vạn Xuân, Tp. Huế, Thừa Thiên Huế 530000"
Nhà Cám,https://maps.app.goo.gl/eAQP1VytYeMLEhFdA,https://static.vinwonders.com/production/bun-dau-mam-tom-Hue-12.jpg,"16.4555382,107.5518394","3,4",56,"160 Phan Chu Trinh, Phước Vĩnh, Thành phố Huế, Thừa Thiên Huế 490000"
Bún đậu Gia Di CN Huế,https://maps.app.goo.gl/6dBZtm2DyJA79h768,https://static.vinwonders.com/production/bun-dau-mam-tom-Hue-12.jpg,"16.4583893,107.5600801","3,9",263,"97 Nguyễn Huệ, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Bún đậu mắm tôm,https://maps.app.goo.gl/WzxhxpPWVu7cFNBf7,https://static.vinwonders.com/production/bun-dau-mam-tom-Hue-12.jpg,"16.478029,107.5438451","4,8",6,"105 Lê Thánh Tôn, Thuận Thành, Thành phố Huế, Thừa Thiên Huế"
Bún Đậu Mắm Tôm Mộc Quán,https://maps.app.goo.gl/6jwMWwddU65QJwgg6,https://static.vinwonders.com/production/bun-dau-mam-tom-Hue-12.jpg,"16.4681886,107.533536","4,4",7,"45 Trần Nguyên Đán, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế"
Bún chả cá 108 Phan Bội Châu,https://maps.app.goo.gl/bW5YPuJrcGxdSKWH6,https://mamruochue.com.vn/wp-content/uploads/2022/10/nhung-cach-nau-bun-cha-ca-hue-ngon-nhat.jpg,"16.4724607,107.5349437","4,3",23,"108 Phan Bội Châu, Trường An, Thành phố Huế, Thừa Thiên Huế"
Bún Chả Cá Hằng,https://maps.app.goo.gl/zvjRdDwLPEzbC6Az5,https://mamruochue.com.vn/wp-content/uploads/2022/10/nhung-cach-nau-bun-cha-ca-hue-ngon-nhat.jpg,"16.4714622,107.5789973","4,7",7,"134 Bà Triệu, Xuân Phú, Thành phố Huế, Thừa Thiên Huế"
Phở như ý - bún chả hà nội,https://maps.app.goo.gl/DnTE68deZ5mcUYcx8,https://static.vinwonders.com/production/bun-cha-ha-noi-01.jpg,"16.4659936,107.5852158",5,7,"3 Đ. Lê Quang Đạo, Xuân Phú, Thành phố Huế, Thừa Thiên Huế"
Bún Giấm Nuốc,https://maps.app.goo.gl/rcryzGjYumBJwES77,https://mia.vn/media/uploads/blog-du-lich/bun-giam-nuoc-huong-vi-cua-manh-dat-co-do-1-1638299481.jpg,"16.4746008,107.5893176","4,2",50,"2 Đ. Chi Lăng, Phú Cát, Thành phố Huế, Thừa Thiên Huế"
Hồng Bún Cá Ngừ,https://maps.app.goo.gl/xP5HSa7qBVWTvWPC9,https://amthuc10phut.vn/wp-content/uploads/2023/08/bun-ca-ngu-hue-3.jpg,"16.4619756,107.5955117","4,2",19,"48 Hoàng Văn Thụ tổ 18, An Đông, Thành phố Huế, Thừa Thiên Huế"
Hồng Nhân - Bún Cá Ngừ - Hoàng Quốc Việt,https://maps.app.goo.gl/J43QQqdp9BYkdPjJA,https://amthuc10phut.vn/wp-content/uploads/2023/08/bun-ca-ngu-hue-3.jpg,"16.459206,107.6098083",chưa có đánh giá,0,"29 Hoàng Quốc Việt, Xuân Phú, Thành phố Huế, Thừa Thiên Huế"
Bún Cá Ngừ 147 - Bà Triệu,https://maps.app.goo.gl/qtMtWvctqzJE2JB28,https://amthuc10phut.vn/wp-content/uploads/2023/08/bun-ca-ngu-hue-3.jpg,"16.4635147,107.6002967",chưa có đánh giá,0,"147 Bà Triệu, Xuân Phú, Thành phố Huế, Thừa Thiên Huế"
Tré Trộn 95,https://maps.app.goo.gl/SGPbt5avmWRtmMJx8,https://cdn.alongwalk.info/info/wp-content/uploads/2022/04/19052845/image-hit-ha-da-mieng-mon-tre-tron-xu-hue-ngon-kho-cuong-165029572592973.jpg,"16.47473,107.5481176",5,2,"05 Nguyễn Khuyến, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Tré trộn Bá,https://maps.app.goo.gl/D7726jrncKHhcWw39,https://cdn.alongwalk.info/info/wp-content/uploads/2022/04/19052845/image-hit-ha-da-mieng-mon-tre-tron-xu-hue-ngon-kho-cuong-165029572592973.jpg,"16.47473,107.5481176",5,5,"5, Lý Thường Kiệt/2 Nguyễn Thị Minh Khai, Phú Nhuận, Tp. Huế, Thừa Thiên Huế"
Dồi heo sụn - Nem Tré Trộn,https://maps.app.goo.gl/kk8mGC9dSkn6HtbH8,https://cdn.alongwalk.info/info/wp-content/uploads/2022/04/19052845/image-hit-ha-da-mieng-mon-tre-tron-xu-hue-ngon-kho-cuong-165029572592973.jpg,"16.461614,107.4963786",5,1,"28 Vạn Xuân, Kim Long, Thành phố Huế, Thừa Thiên Huế"
Hủ Tiếu Đặng Huy Trứ,https://maps.app.goo.gl/wFjiWKqTU8zifxYD9,https://toplist.vn/images/800px/hu-tieu-binh-dan-nguyet-1062941.jpg,"16.4407158,107.5920081","4,3",8,"86, Đặng Huy Trứ, An Cựu, Thành phố Huế, Thừa Thiên Huế"
Hủ tiếu May,https://maps.app.goo.gl/FN7guBQT6xP6JmwX7,https://toplist.vn/images/800px/hu-tieu-binh-dan-nguyet-1062941.jpg,"16.4676321,107.6011587","4,4",49,"13 Dương Văn An, tổ 7, Thành phố Huế, Thừa Thiên Huế"
Hủ Tiếu Vĩnh Phương,https://maps.app.goo.gl/RvMLBQFt1vyAzi399,https://toplist.vn/images/800px/hu-tieu-binh-dan-nguyet-1062941.jpg,"16.4868652,107.590838","4,8",10,"322 Đ. Chi Lăng, Phú Hiệp, Thành phố Huế, Thừa Thiên Huế"
Hủ Tiếu Bình Dân Nguyệt,https://maps.app.goo.gl/UGqzvyG824w3iq4K9,https://toplist.vn/images/800px/hu-tieu-binh-dan-nguyet-1062941.jpg,"16.4732757,107.6026772",4,6,"10 Điềm Phùng Thị, Vỹ Dạ, Thành phố Huế, Thừa Thiên Huế"
Quán Cháo - Xôi - Gà Vịt Nguyễn Trãi,https://maps.app.goo.gl/fJpE2njmznNcZogz5,https://cdn.tuoitre.vn/thumb_w/480/471584752817336320/2024/7/6/base64-1720201611403880486659.jpeg,"16.4739815,107.5497645",chưa có đánh giá,0,"176 Nguyễn Trãi, Tây Lộc, Thành phố Huế, Thừa Thiên Huế"
Xôi Ngô Đức Kế,https://maps.app.goo.gl/rYAMpBKyhELRA8rx8,https://cdn.tuoitre.vn/thumb_w/480/471584752817336320/2024/7/6/base64-1720201611403880486659.jpeg,"16.4768718,107.5654201","4,6",21,"16 Đường Xuân 68, Phú Hậu, Thành phố Huế, Thừa Thiên Huế"
Xôi gà Đạp Đá,https://maps.app.goo.gl/K9MQi85nyxcZB7bU7,https://cdn.tuoitre.vn/thumb_w/480/471584752817336320/2024/7/6/base64-1720201611403880486659.jpeg,"16.4718085,107.5778223",chưa có đánh giá,0,"14 Nguyễn Công Trứ, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Xôi gà chợ An Cựu,https://maps.app.goo.gl/GPxYpdRbNJDYxDBeA,https://cdn.tuoitre.vn/thumb_w/480/471584752817336320/2024/7/6/base64-1720201611403880486659.jpeg,"16.4573421,107.5974411","4,5",96,"FJ42+W6P, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Quán Gà 1B Miếu Đôi,https://maps.app.goo.gl/7DZTW4jmU3sCoguB8,https://toplist.vn/images/800px/quan-ga-nuong-khoi-chieu-1243081.jpg,"16.4655123,107.5839569",5,5,"10 Kiệt, 246 Đường Hùng Vương, An Cựu, Thành phố Huế, Thừa Thiên Huế"
Xôi thịt hon,https://maps.app.goo.gl/7BTTdyB4NvcsRHCg8,https://2sao.vietnamnetjsc.vn/images/2022/09/08/21/59/xoi1.jpg,"16.4751986,107.5411535","4,7",3,"75A Nhật Lệ, Thuận Thành, Thành phố Huế, Thừa Thiên Huế"
Xôi thịt Hon Phạm Hồng Thái,https://maps.app.goo.gl/nKQf7jvSSRvt8eQm7,https://2sao.vietnamnetjsc.vn/images/2022/09/08/21/59/xoi1.jpg,"16.4751986,107.5411535","4,1",14,"10 Phạm Hồng Thái, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Xôi thịt hon dì Khanh,https://maps.app.goo.gl/nsqUYduLMmHthnMg7,https://2sao.vietnamnetjsc.vn/images/2022/09/08/21/59/xoi1.jpg,"16.4680343,107.5558434","4,8",6,"55 Đinh Công Tráng, Phú Hậu, Thành phố Huế, Thừa Thiên Huế"
Bánh Canh Bà Đợi,https://maps.app.goo.gl/4zshMNtAZ6447A9k9,https://mia.vn/media/uploads/blog-du-lich/oanh-tac-quan-banh-canh-ba-doi-thom-ngon-lay-lung-xu-hue-02-1637918708.jpg,"16.4665708,107.5733488","3,8",146,"69 Nguyễn Trãi, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế"
Quán cháo bò O Vân,https://maps.app.goo.gl/J2njsmjKg6zdzLyd9,https://toplist.vn/images/800px/chao-bo-ba-cuc-1329207.jpg,"16.4666892,107.5239941","4,9",13,"29 Nguyễn Thiện Thuật, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế"
CHÁO BÒ 22,https://maps.app.goo.gl/FTdZx91t8QGFGX3M6,https://toplist.vn/images/800px/chao-bo-ba-cuc-1329207.jpg,"16.4666892,107.5239941","4,8",29,"15 Trần Quang Khải, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Cháo Bò Đập Đá,https://maps.app.goo.gl/TGitxBAQgvWye2o89,https://toplist.vn/images/800px/chao-bo-ba-cuc-1329207.jpg,"16.4666892,107.5239941","4,1",285,"5 Nguyễn Công Trứ, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Cháo Lòng Lịch Đợi,https://maps.app.goo.gl/bLr22ykssyvMy5ph9,https://bazantravel.com/cdn/medias/uploads/30/30430-chao-long-lich-doi.jpg,"16.4666892,107.5239941",4,88,"84 Lịch Đợi, Phường Đúc, Thành phố Huế, Thừa Thiên Huế"
cháo bò Bà Cúc,https://maps.app.goo.gl/ggwcK8oxWZWKbUkeA,https://toplist.vn/images/800px/chao-bo-ba-cuc-1329207.jpg,"16.4598954,107.5890848","4,3",20,"56 Hai Bà Trưng, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 54000"
Quán Lươn Xứ Nghệ,https://maps.app.goo.gl/aQthjVPuii3UWEhR9,https://toplist.vn/images/800px/chao-luon-nuong-cay-chi-thuy-1264195.jpg,"16.4610115,107.5711081",4,114,"20 Hai Bà Trưng, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Cháo lươn Nguyễn Hoàng,https://maps.app.goo.gl/eSojRqdRZ3yvy7o6A,https://toplist.vn/images/800px/chao-luon-nuong-cay-chi-thuy-1264195.jpg,"16.4652584,107.5544345","4,8",10,"13/3/80 Nguyễn Hoàng, Kim Long, Thành phố Huế, Thừa Thiên Huế"
Cháo Lươn - Nướng Cay Chị Thúy,https://maps.app.goo.gl/J8WggRroPeG4Kbmn8,https://toplist.vn/images/800px/chao-luon-nuong-cay-chi-thuy-1264195.jpg,"16.446741,107.586266","3,9",15,"70 Đặng Huy Trứ tổ 15, Trường An, Thành phố Huế, Thừa Thiên Huế"
"Dì Nguyên - Cơm Hến, Cháo Hến",https://maps.app.goo.gl/uxAKQndXkJ7kPnTe7,https://images2.thanhnien.vn/zoom/686_429/528068263637045248/2023/12/29/h4-1703836234931220603304-75-0-750-1080-crop-1703836823737989069799.jpg,"16.4671848,107.5551716","3,3",4,"76 Nguyễn Trãi, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế"
Quán Cơm Bún Cháo Hến Nở,https://maps.app.goo.gl/7QJJq8yTE8jXhUa26,https://images2.thanhnien.vn/zoom/686_429/528068263637045248/2023/12/29/h4-1703836234931220603304-75-0-750-1080-crop-1703836823737989069799.jpg,"16.4671848,107.5551716","3,3",3,"14 Nguyễn Huệ, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Quán cơm bún mì cháo Hến,https://maps.app.goo.gl/3KvGmPhHrMjZ1k8W7,https://images2.thanhnien.vn/zoom/686_429/528068263637045248/2023/12/29/h4-1703836234931220603304-75-0-750-1080-crop-1703836823737989069799.jpg,"16.459982,107.5721461","3,4",29,"29 Ngô Gia Tự, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
36 Local,https://maps.app.goo.gl/eSaGx62UoLK887GUA,https://andemkom9.com/wp-content/uploads/2022/09/quan-hue-ban-bun-bo-hue-tai-ba-dinh.jpg,"16.4600227,107.5721461","4,4",96,"36 Đinh Tiên Hoàng, Phú Hoà, Thành phố Huế, Thừa Thiên Huế"
Quán nhậu dê Cao lẩu Vườn,https://maps.app.goo.gl/7D1JFeJ6BbrcoCpDA,https://toplist.vn/images/800px/quan-nhau-de-cao-lau-vuon-1056501.jpg,"16.4637686,107.5388186",4,139,"7 kiet 138 Phạm Thị Liên, Kim Long, Thành phố Huế, Thừa Thiên Huế"
Tà Vẹt Coffee & Pub,https://maps.app.goo.gl/wLaQP27PiyCSUJZX8,https://d3tosvr3yotk6r.cloudfront.net/Content/UserUploads/Images/Locations/4/2217/medium_110142989_1209178609432870_1988378269751112995_n.jpg,"16.4682806,107.5768621","4,3",925,"11 Võ Thị Sáu, Phú Hội, Thành phố Huế, Thừa Thiên Huế 53000"
Quán A Sơn,https://maps.app.goo.gl/W5fafCp91ixm4aDU6,https://cdn.alongwalk.info/wp-content/uploads/2022/05/22084200/image-review-nhung-ngay-mua-la-cu-phai-di-an-het-7-quan-lau-ngon-o-hue-nay-moi-da-165315852072305.jpg,"16.4682806,107.5768621","3,7",120,"17 Lê Hồng Phong, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Highlands Coffee,https://maps.app.goo.gl/qvrSLENDGJpyDb1Z6,https://www.cotrang.org/tin-tuc/images/hue/quan-cafe/highland-hue/highland-coffee-vtv8-hue-ttgt-7.jpg,"16.4622804,107.5705563","4,1",306,"09 Đ. Ngô Quyền, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Highlands coffee Bến Thuyền - 05 Lê Lợi,https://maps.app.goo.gl/sY66JvQj4HB8teyYA,https://vietnam.com.co/wp-content/uploads/2024/04/Highlands-coffee-ben-thuyen-05-le-loi-780x270.jpeg,"16.4602864,107.5782145","4,2",152,"05 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 49000, Việt Nam"
Highlands Coffee 78 Nguyễn Huệ - Huế,https://maps.app.goo.gl/zxNvtUnwARw8654G7,https://myinhue.org/wp-content/uploads/2023/07/highlands-hue-3.jpg,"16.4578313,107.5873066","4,3",162,"78 Nguyễn Huệ, P, Thành phố Huế, Thừa Thiên Huế 49000, Việt Nam"
Highlands Coffee Thach Han Hue,https://maps.app.goo.gl/qZ1KY3o8ZjNciqK3A,https://myinhue.org/wp-content/uploads/2023/07/highlands-hue-10.jpg,"16.4704861,107.5681114","3,9",43,"59 Đường Thạch Hãn, P, Thành phố Huế, Thừa Thiên Huế 49000, Việt Nam"
Highlands Coffee,https://maps.app.goo.gl/MmEuK7YKKEkKxoKBA,https://myinhue.org/wp-content/uploads/2023/07/highlands-hue-6.jpg,"16.4658279,107.5738106","4,1",306,"8 Hùng Vương, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Highlands Coffee GO Mall Huế,https://maps.app.goo.gl/CUkZqfuHapmTd6tC9,https://statics.vincom.com.vn/vincom-ho/khong-gian.jpg,"16.4658686,107.5738106","3,7",21,"174 Bà Triệu, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế 49100"
Highlands Coffee 102 Pham Van Dong Hue,https://maps.app.goo.gl/pxWfK15nYcm8mNQ79,https://myinhue.org/wp-content/uploads/2023/07/highlands-hue-9.jpg,"16.4819148,107.5843415","4,5",22,"102A Phạm Văn Đồng, Vỹ Dạ, Thành phố Huế, Thừa Thiên Huế 49000"
Highlands Coffee Hoang Van Thu Hue,https://maps.app.goo.gl/ozsgFwBj6Z4AxW5YA,https://myinhue.org/wp-content/uploads/2023/07/highlands-hue-4.jpg,"16.4607592,107.5861239","3,9",27,"25 Hoàng Văn Thụ, An Đông, Thành phố Huế, Thừa Thiên Huế 49000"
Anh Kafe,https://maps.app.goo.gl/8zooMcQCYtM4jmu87,https://www.cotrang.org/public/images/tin_dang/2/225_cafe-anh-kafe-68-hai-ba-trung-bk-1.jpg,"16.4592461,107.5864121","4,3",337,"68 Hai Bà Trưng, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Anh Kafe,https://maps.app.goo.gl/5XFYfRf1vSiFwmXC7,https://pos.anhkafe.com/wp-content/uploads/2024/03/z5104763221306_52141329ca8f12e155509a7294ed490e-1536x864.jpg,"16.4580366,107.5793289","3,9",118,"5 Nguyễn Huệ, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Anh Kafe,https://maps.app.goo.gl/eKYr949Mqs5PTcti9,https://media-cdn.tripadvisor.com/media/photo-s/0b/ec/c7/73/getlstd-property-photo.jpg,"16.4738056,107.5787727","4,1",168,"94 Đinh Tiên Hoàng, Phú Hậu, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
GA COFFEE,https://maps.app.goo.gl/LX5gqKWXBmiDCXkb6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/2d/af/c8/ga-coffee-more-is-located.jpg,"16.4884485,107.588682","4,6",12,"344 Đ. Chi Lăng, Phú Hiệp, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Cà Phê Muối,https://maps.app.goo.gl/BV6xgH8rtuktucmC8,https://media.sohuutritue.net.vn/resize/560x315/files/duyluong/2023/07/25/dsc05657-1456.jpg,"16.462758,107.5963258","4,2",289,"10 Đ. Nguyễn Lương Bằng, tổ 3, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Cà Phê Muối,https://maps.app.goo.gl/yBt2B5XMAnkKXUPt5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/93/9d/00/salt-coffee.jpg,"16.4711537,107.570181","3,8",458,"142 Đặng Thái Thân, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Cà Phê Mắt Biếc,https://maps.app.goo.gl/xE5PfvHvACGiXsEd8,https://mia.vn/media/uploads/blog-du-lich/Den-tiem-ca-phe-Mat-Biec-de-ngam-nhin-can-nha-cua-Ha-Lan-04-1650991808.jpg,"16.4949406,107.4331006","4,5",182,"66 Bao Vinh, Hương Vang, Hương Trà, Thừa Thiên Huế"
Chuồn Chuồn cafe,https://maps.app.goo.gl/J2rCtMDn3wZBjTMU6,,"16.4758571,107.5634661","4,7",28,"37 Trần Nhân Tông, Tây Lộc, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
&.café.studio,https://maps.app.goo.gl/9NAaPsa1DGQR4g3M8,,"16.4762844,107.554345","4,2",6,"52 Lý Nam Đế, An Hòa, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Sunrise art studio and cafe,https://maps.app.goo.gl/o1TbSh9d3n7EX76T7,https://images.adsttc.com/media/images/5bc7/8dbc/f197/cc6b/2200/01c9/newsletter/_SP_4024-Edited.jpg,"16.4449606,107.5550712","4,8",9,"23 Huyền Trân Công Chúa, Thủy Biều, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
